epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,13696.3,0.64176,0.40346,0.856,0.90835,0.85213,0.91116,0.69252,0.69266,0.41421,0.85922,0.000892,0.000892,0.000892
186,13770,0.6434,0.40365,0.85676,0.9085,0.85173,0.91115,0.6931,0.69262,0.41408,0.85919,0.0008425,0.0008425,0.0008425
187,13844.1,0.64108,0.40205,0.85549,0.90525,0.84924,0.9111,0.69223,0.69254,0.4139,0.8592,0.000793,0.000793,0.000793
188,13917.6,0.63205,0.39688,0.85367,0.90795,0.85353,0.91145,0.69253,0.69244,0.41371,0.85922,0.0007435,0.0007435,0.0007435
189,13991.7,0.63482,0.39984,0.85343,0.90641,0.85348,0.91139,0.69177,0.69244,0.4134,0.85921,0.000694,0.000694,0.000694
190,14065.4,0.63266,0.39731,0.8539,0.90955,0.85382,0.9123,0.6927,0.69221,0.41355,0.85913,0.0006445,0.0006445,0.0006445
191,14140,0.61569,0.37755,0.84281,0.90919,0.85395,0.91221,0.69331,0.69229,0.41325,0.8591,0.000595,0.000595,0.000595
192,14212.2,0.59264,0.36699,0.8397,0.90738,0.85264,0.9117,0.69345,0.69199,0.41291,0.85899,0.0005455,0.0005455,0.0005455
193,14284.7,0.5891,0.36362,0.83786,0.90794,0.85148,0.91134,0.69297,0.69195,0.41296,0.8589,0.000496,0.000496,0.000496
194,14357.1,0.58511,0.36356,0.83734,0.90804,0.85103,0.91162,0.6926,0.69171,0.41281,0.85887,0.0004465,0.0004465,0.0004465
195,14429.5,0.57951,0.35954,0.83685,0.91199,0.85139,0.91243,0.69248,0.69166,0.41278,0.85883,0.000397,0.000397,0.000397
196,14501.7,0.57645,0.35952,0.83482,0.91186,0.85106,0.91286,0.69214,0.6916,0.41277,0.85881,0.0003475,0.0003475,0.0003475
197,14574.2,0.575,0.35669,0.83645,0.91235,0.85024,0.9127,0.69255,0.69148,0.41283,0.85871,0.000298,0.000298,0.000298
198,14646.3,0.5741,0.35869,0.8351,0.90837,0.85205,0.91211,0.69236,0.69126,0.4125,0.85856,0.0002485,0.0002485,0.0002485
199,14718.9,0.57071,0.35578,0.835,0.90871,0.85162,0.91195,0.69273,0.69108,0.41253,0.8585,0.000199,0.000199,0.000199
200,14791.3,0.56948,0.35505,0.83572,0.90792,0.85226,0.91181,0.69256,0.69113,0.41219,0.85849,0.0001495,0.0001495,0.0001495
