epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3216.18,0.92855,0.6083,0.94703,0.82591,0.72768,0.8106,0.55552,0.88617,0.5613,0.92433,0.007921,0.007921,0.007921
44,3289.67,0.92717,0.60936,0.94449,0.79946,0.73742,0.80057,0.54463,0.8882,0.55876,0.92912,0.0078715,0.0078715,0.0078715
45,3364.01,0.92171,0.60063,0.94252,0.82106,0.7446,0.81783,0.55956,0.88349,0.55005,0.9273,0.007822,0.007822,0.007822
46,3438,0.9187,0.59947,0.94148,0.86043,0.72166,0.8251,0.56841,0.87129,0.54696,0.93087,0.0077725,0.0077725,0.0077725
47,3512.13,0.92194,0.60332,0.94395,0.8161,0.74516,0.81766,0.56784,0.87653,0.54574,0.92291,0.007723,0.007723,0.007723
48,3585.94,0.91248,0.59155,0.93755,0.86511,0.74015,0.84088,0.58331,0.86435,0.53865,0.91924,0.0076735,0.0076735,0.0076735
49,3659.26,0.91061,0.58991,0.93733,0.84716,0.75911,0.83209,0.57011,0.87078,0.53691,0.91796,0.007624,0.007624,0.007624
50,3732.65,0.90417,0.58373,0.93574,0.87413,0.7436,0.83569,0.57749,0.85767,0.53151,0.91652,0.0075745,0.0075745,0.0075745
51,3806.28,0.89361,0.5794,0.93263,0.85193,0.74249,0.82892,0.57965,0.85418,0.52747,0.91126,0.007525,0.007525,0.007525
52,3880.04,0.89915,0.58144,0.93607,0.86728,0.75182,0.84137,0.58336,0.85152,0.52848,0.91788,0.0074755,0.0074755,0.0074755
53,3954.29,0.88941,0.57297,0.93012,0.8696,0.7574,0.84375,0.59592,0.84836,0.52716,0.90957,0.007426,0.007426,0.007426
54,4027.83,0.887,0.57606,0.93004,0.85318,0.76195,0.84324,0.58734,0.84343,0.52446,0.91141,0.0073765,0.0073765,0.0073765
55,4101.47,0.88699,0.57412,0.93241,0.86337,0.74993,0.84549,0.59265,0.8343,0.51905,0.90445,0.007327,0.007327,0.007327
56,4175.39,0.88066,0.57147,0.92784,0.87511,0.74986,0.84161,0.59288,0.83622,0.51619,0.90481,0.0072775,0.0072775,0.0072775
57,4249.1,0.88594,0.56994,0.92829,0.86712,0.76562,0.84754,0.59279,0.83703,0.51592,0.90281,0.007228,0.007228,0.007228
58,4322.58,0.88027,0.56786,0.92847,0.86212,0.75914,0.85057,0.60562,0.83146,0.51372,0.90568,0.0071785,0.0071785,0.0071785
59,4396.49,0.87268,0.55921,0.92483,0.83633,0.79075,0.85731,0.60124,0.8256,0.51074,0.90233,0.007129,0.007129,0.007129
60,4470.29,0.8678,0.5588,0.92498,0.85876,0.7737,0.8517,0.60047,0.82303,0.50747,0.89831,0.0070795,0.0070795,0.0070795
61,4543.84,0.8682,0.55654,0.92173,0.88337,0.77433,0.86767,0.61329,0.8201,0.50103,0.89858,0.00703,0.00703,0.00703
62,4617.56,0.8611,0.55184,0.9218,0.87291,0.7905,0.86728,0.61484,0.81289,0.50095,0.89828,0.0069805,0.0069805,0.0069805
63,4691.4,0.86409,0.55518,0.92202,0.84843,0.77842,0.85164,0.60932,0.81517,0.50496,0.90165,0.006931,0.006931,0.006931
64,4764.94,0.86032,0.55179,0.92253,0.87774,0.75826,0.85586,0.60643,0.81657,0.49865,0.90037,0.0068815,0.0068815,0.0068815
65,4838.57,0.85488,0.54728,0.9198,0.86742,0.77027,0.85786,0.6109,0.80394,0.49413,0.89939,0.006832,0.006832,0.006832
66,4912.19,0.8592,0.55207,0.92161,0.87078,0.77486,0.86377,0.61422,0.8066,0.49387,0.89679,0.0067825,0.0067825,0.0067825
67,4985.96,0.85204,0.54493,0.91829,0.89018,0.75831,0.86757,0.62089,0.8045,0.49181,0.89419,0.006733,0.006733,0.006733
68,5059.71,0.84735,0.54107,0.91702,0.87261,0.79267,0.87023,0.62044,0.80019,0.49139,0.89398,0.0066835,0.0066835,0.0066835
69,5133.3,0.84707,0.54423,0.91689,0.85527,0.78316,0.85904,0.61808,0.79748,0.48791,0.89254,0.006634,0.006634,0.006634
70,5207.1,0.84138,0.538,0.91247,0.87048,0.78301,0.86453,0.62462,0.79814,0.49073,0.88984,0.0065845,0.0065845,0.0065845
71,5280.96,0.84126,0.53584,0.91524,0.89145,0.77356,0.86727,0.6256,0.79391,0.48343,0.89325,0.006535,0.006535,0.006535
72,5354.74,0.84463,0.53733,0.91375,0.88834,0.78277,0.87055,0.6279,0.79212,0.48406,0.89292,0.0064855,0.0064855,0.0064855
73,5428.36,0.83568,0.5349,0.9128,0.83201,0.81735,0.87,0.62619,0.78823,0.4827,0.89156,0.006436,0.006436,0.006436
74,5501.69,0.83289,0.52886,0.91102,0.83132,0.81031,0.87133,0.62825,0.78761,0.47779,0.89015,0.0063865,0.0063865,0.0063865
75,5575.48,0.82806,0.52967,0.91104,0.86341,0.79852,0.87087,0.62945,0.78424,0.4776,0.8903,0.006337,0.006337,0.006337
76,5649.35,0.83306,0.5318,0.91235,0.88094,0.80434,0.87654,0.63225,0.78112,0.47591,0.89164,0.0062875,0.0062875,0.0062875
77,5723.15,0.83168,0.52992,0.91085,0.8691,0.81381,0.87169,0.6339,0.77771,0.4756,0.88705,0.006238,0.006238,0.006238
78,5796.67,0.82495,0.52568,0.91148,0.89527,0.78085,0.87482,0.6315,0.77566,0.47583,0.88765,0.0061885,0.0061885,0.0061885
79,5870.25,0.82134,0.5225,0.90678,0.86972,0.81248,0.87569,0.63721,0.77361,0.47131,0.88494,0.006139,0.006139,0.006139
80,5943.83,0.82293,0.52413,0.90748,0.90481,0.79834,0.88212,0.64435,0.77175,0.47109,0.88395,0.0060895,0.0060895,0.0060895
81,6017.64,0.82025,0.52079,0.90655,0.90665,0.79079,0.88336,0.64095,0.77147,0.47092,0.88699,0.00604,0.00604,0.00604
82,6091.45,0.80994,0.51519,0.90579,0.86415,0.81012,0.8809,0.63784,0.76693,0.46931,0.88711,0.0059905,0.0059905,0.0059905
83,6164.88,0.81659,0.52226,0.90637,0.87709,0.79891,0.87859,0.63887,0.76852,0.46603,0.88503,0.005941,0.005941,0.005941
84,6238.5,0.8115,0.51537,0.90486,0.89678,0.78536,0.87895,0.64166,0.76445,0.46327,0.88289,0.0058915,0.0058915,0.0058915
85,6312.21,0.80349,0.50965,0.90291,0.9007,0.79451,0.88498,0.64617,0.76116,0.46155,0.88427,0.005842,0.005842,0.005842
86,6386.17,0.81091,0.51506,0.90575,0.89375,0.80132,0.88363,0.65029,0.76589,0.46399,0.8851,0.0057925,0.0057925,0.0057925
87,6460.41,0.80878,0.51363,0.90463,0.90091,0.79913,0.88536,0.64916,0.76251,0.46243,0.88393,0.005743,0.005743,0.005743
88,6534.23,0.7991,0.50878,0.90015,0.91975,0.77856,0.88629,0.64994,0.75965,0.45858,0.8848,0.0056935,0.0056935,0.0056935
89,6607.98,0.80264,0.5078,0.90217,0.91686,0.78678,0.88995,0.65254,0.75589,0.45903,0.883,0.005644,0.005644,0.005644
90,6681.73,0.79877,0.50675,0.90138,0.90505,0.79406,0.89305,0.65219,0.75498,0.45868,0.88353,0.0055945,0.0055945,0.0055945
91,6755.48,0.80088,0.50687,0.90301,0.91236,0.79042,0.88869,0.65275,0.75166,0.45609,0.88161,0.005545,0.005545,0.005545
92,6829.44,0.79675,0.50497,0.89976,0.89519,0.8087,0.88734,0.64969,0.75474,0.45587,0.88286,0.0054955,0.0054955,0.0054955
93,6903.31,0.79902,0.50395,0.90129,0.90828,0.79515,0.88725,0.6503,0.75454,0.45475,0.88311,0.005446,0.005446,0.005446
94,6976.99,0.79023,0.49841,0.89796,0.90422,0.79501,0.88786,0.6538,0.74989,0.45266,0.87986,0.0053965,0.0053965,0.0053965
95,7050.99,0.79112,0.50192,0.8971,0.89309,0.80066,0.88896,0.6566,0.74677,0.45234,0.8761,0.005347,0.005347,0.005347
96,7124.95,0.79029,0.49776,0.89616,0.90319,0.79632,0.8871,0.65769,0.74509,0.45066,0.87537,0.0052975,0.0052975,0.0052975
97,7198.73,0.78304,0.49462,0.89647,0.90488,0.7907,0.8863,0.65685,0.74362,0.45015,0.87613,0.005248,0.005248,0.005248
98,7272.44,0.78032,0.4914,0.89671,0.88608,0.80267,0.88603,0.65761,0.74329,0.44862,0.87668,0.0051985,0.0051985,0.0051985
99,7346.05,0.78474,0.49425,0.89326,0.8904,0.79384,0.88527,0.65498,0.74127,0.44824,0.87616,0.005149,0.005149,0.005149
100,7419.61,0.77712,0.49012,0.89386,0.90149,0.80083,0.88501,0.65797,0.73918,0.44674,0.87471,0.0050995,0.0050995,0.0050995
101,7493.43,0.7793,0.49083,0.89577,0.87927,0.80733,0.88578,0.66014,0.74148,0.44704,0.87593,0.00505,0.00505,0.00505
102,7567.47,0.77663,0.49272,0.895,0.85306,0.8235,0.88768,0.66151,0.73928,0.44652,0.87564,0.0050005,0.0050005,0.0050005
103,7641.24,0.77324,0.49,0.89334,0.91387,0.79818,0.88975,0.6643,0.73808,0.44695,0.87477,0.004951,0.004951,0.004951
104,7714.95,0.77305,0.48857,0.89476,0.88267,0.81834,0.89049,0.66429,0.73762,0.44583,0.8739,0.0049015,0.0049015,0.0049015
105,7788.57,0.773,0.48587,0.8938,0.88065,0.81528,0.89186,0.66288,0.73668,0.44533,0.87409,0.004852,0.004852,0.004852
106,7862.3,0.77092,0.48801,0.89037,0.86965,0.83111,0.89297,0.66312,0.73637,0.44339,0.87258,0.0048025,0.0048025,0.0048025
107,7935.81,0.76512,0.48397,0.88993,0.88142,0.82074,0.89486,0.66427,0.73654,0.44117,0.87334,0.004753,0.004753,0.004753
108,8009.68,0.77059,0.48421,0.89181,0.88582,0.8289,0.89493,0.66729,0.73584,0.43974,0.87357,0.0047035,0.0047035,0.0047035
109,8083.87,0.76189,0.48452,0.88923,0.89192,0.81905,0.90015,0.66997,0.73495,0.44006,0.87247,0.004654,0.004654,0.004654
110,8157.98,0.75998,0.48101,0.88912,0.89603,0.81941,0.89667,0.66744,0.73392,0.44013,0.87169,0.0046045,0.0046045,0.0046045
111,8232.05,0.76337,0.48014,0.8899,0.90012,0.82013,0.89641,0.66863,0.73506,0.43984,0.87301,0.004555,0.004555,0.004555
112,8305.74,0.75846,0.47736,0.88829,0.89471,0.82511,0.89913,0.67135,0.73379,0.43887,0.87286,0.0045055,0.0045055,0.0045055
113,8379.82,0.75203,0.4762,0.88613,0.90183,0.81626,0.89728,0.66924,0.73127,0.43695,0.87078,0.004456,0.004456,0.004456
114,8453.23,0.75168,0.47331,0.88917,0.89729,0.82444,0.89973,0.67234,0.72937,0.43689,0.87009,0.0044065,0.0044065,0.0044065
115,8527.03,0.75705,0.47658,0.88947,0.9042,0.81869,0.89822,0.67161,0.72793,0.43633,0.87025,0.004357,0.004357,0.004357
116,8600.94,0.75086,0.47253,0.88562,0.90139,0.8179,0.89874,0.67394,0.72693,0.43536,0.87044,0.0043075,0.0043075,0.0043075
117,8674.86,0.75238,0.47495,0.88748,0.91289,0.81513,0.90074,0.67682,0.7249,0.43445,0.86938,0.004258,0.004258,0.004258
118,8748.48,0.74937,0.4715,0.88546,0.87989,0.83426,0.89884,0.67535,0.7231,0.43288,0.86884,0.0042085,0.0042085,0.0042085
119,8822.54,0.74486,0.46976,0.88425,0.88763,0.83322,0.89871,0.67612,0.72232,0.43316,0.86868,0.004159,0.004159,0.004159
120,8896.31,0.74663,0.47098,0.88626,0.88264,0.82826,0.89768,0.67395,0.72146,0.43265,0.86852,0.0041095,0.0041095,0.0041095
121,8970.25,0.74463,0.4655,0.88453,0.88947,0.82905,0.89882,0.67428,0.7211,0.43232,0.8688,0.00406,0.00406,0.00406
122,9044.05,0.74185,0.46822,0.88459,0.91074,0.81286,0.8982,0.67174,0.72047,0.43203,0.86845,0.0040105,0.0040105,0.0040105
123,9117.89,0.73882,0.46682,0.88332,0.9057,0.81695,0.89945,0.67294,0.72016,0.43126,0.8686,0.003961,0.003961,0.003961
124,9191.39,0.73988,0.46381,0.88206,0.90301,0.82313,0.89947,0.67536,0.71909,0.42949,0.86842,0.0039115,0.0039115,0.0039115
125,9265.36,0.73877,0.4622,0.88187,0.89832,0.83028,0.90299,0.67591,0.71858,0.42902,0.868,0.003862,0.003862,0.003862
126,9339.26,0.7344,0.46288,0.8829,0.89683,0.82786,0.90302,0.67599,0.71774,0.4282,0.86819,0.0038125,0.0038125,0.0038125
127,9413.09,0.7345,0.4599,0.88351,0.91212,0.82047,0.90351,0.67676,0.71618,0.42853,0.86758,0.003763,0.003763,0.003763
128,9486.74,0.73044,0.45839,0.88086,0.90847,0.82534,0.90349,0.67672,0.71462,0.42717,0.86744,0.0037135,0.0037135,0.0037135
129,9560.61,0.73571,0.46146,0.88127,0.91412,0.82235,0.90377,0.67676,0.71402,0.42767,0.8673,0.003664,0.003664,0.003664
130,9634.34,0.72955,0.45714,0.87983,0.91337,0.81927,0.90358,0.67602,0.71339,0.4279,0.86672,0.0036145,0.0036145,0.0036145
131,9708.45,0.72808,0.45497,0.87788,0.89945,0.82756,0.903,0.67701,0.71196,0.42682,0.866,0.003565,0.003565,0.003565
132,9782.15,0.73053,0.46025,0.8794,0.88987,0.83826,0.90433,0.67777,0.71243,0.42653,0.86601,0.0035155,0.0035155,0.0035155
133,9855.97,0.72438,0.45374,0.87765,0.8861,0.83695,0.90496,0.67759,0.71137,0.42632,0.86549,0.003466,0.003466,0.003466
134,9929.88,0.72464,0.45797,0.88046,0.89887,0.82535,0.90536,0.67965,0.71008,0.42607,0.86463,0.0034165,0.0034165,0.0034165
135,10003.9,0.72089,0.45258,0.87554,0.89672,0.83272,0.90501,0.67993,0.7094,0.42643,0.86468,0.003367,0.003367,0.003367
136,10079,0.72165,0.45163,0.87777,0.90666,0.82453,0.90441,0.68077,0.70847,0.42572,0.86432,0.0033175,0.0033175,0.0033175
137,10153,0.7147,0.44822,0.87588,0.91061,0.82672,0.90538,0.6796,0.70763,0.42572,0.8643,0.003268,0.003268,0.003268
138,10226.8,0.71809,0.44955,0.8769,0.89817,0.83098,0.90373,0.6802,0.7076,0.42513,0.86461,0.0032185,0.0032185,0.0032185
139,10300.5,0.71531,0.45033,0.87596,0.8961,0.83262,0.90481,0.68166,0.70714,0.42462,0.86464,0.003169,0.003169,0.003169
140,10374.1,0.70947,0.44678,0.87604,0.9001,0.83759,0.90586,0.68271,0.7065,0.42413,0.86412,0.0031195,0.0031195,0.0031195
141,10447.8,0.70709,0.44338,0.87247,0.902,0.83189,0.9078,0.68535,0.70576,0.42415,0.86392,0.00307,0.00307,0.00307
142,10521.7,0.71154,0.4472,0.87367,0.90591,0.82653,0.90723,0.68602,0.70522,0.42348,0.86359,0.0030205,0.0030205,0.0030205
143,10595.5,0.70715,0.44201,0.87261,0.90695,0.82765,0.90806,0.68655,0.70497,0.4232,0.86374,0.002971,0.002971,0.002971
144,10669.5,0.70282,0.44199,0.872,0.91058,0.82667,0.90653,0.68651,0.70482,0.42285,0.86355,0.0029215,0.0029215,0.0029215
